board,listing_year,feature,n,mean_shap,mean_abs_shap
主板,2023.0,board,35,0.7062608777981446,0.7062608777981446
主板,2023.0,subscription_upper_limit_10k,35,0.09596243345155586,0.12535682368878417
主板,2023.0,offline_issue_before_clawback_10k,35,-0.04895120792248192,0.1157777366418601
主板,2023.0,subscription_step_10k,35,0.11538375146337072,0.11538375146337072
主板,2023.0,offline_issue_before_share_pct,35,0.0441043242345291,0.11205715162249928
主板,2023.0,market_turnover_ma20,35,0.08478082326265558,0.08478082326265558
主板,2023.0,online_issue_before_clawback_10k,35,-0.07505950188495286,0.08178162060887453
主板,2023.0,total_issue_shares_10k,35,-0.04361649008723131,0.06785507188400344
主板,2023.0,subscription_lower_limit_10k,35,0.0468946236231635,0.0653404152724701
主板,2023.0,market_turnover_pct_rank_1y,35,0.012069168843163676,0.026091886862290272
主板,2023.0,market_turnover_ma20_over_ma60,35,0.02562077795618973,0.025735389059304586
主板,2023.0,comparable_pe_avg_ex_nonrecurring,35,0.007543402295337415,0.023340918122009162
主板,2023.0,strategic_allocation_10k,35,0.015944653456328714,0.022958392853197573
主板,2023.0,concurrent_offline_issue_sum_10k,35,-0.006208443043912322,0.021626952216802477
主板,2023.0,strategic_allocation_share_pct,35,0.008585143980429677,0.021297250271270027
主板,2023.0,same_board_concurrent_ipo_count,35,0.02103204642762643,0.02103204642762643
主板,2023.0,recent_ipo_first_day_return_ma20,35,0.01848729805765744,0.019775611661762504
主板,2023.0,market_return_ma20,35,0.011644275479595515,0.01572686165395373
主板,2023.0,industry_pe_at_ipo,35,0.005380907379411491,0.012553984394301323
主板,2023.0,concurrent_ipo_count,35,0.004336188607687574,0.01102972588665793
主板,2023.0,same_board_break_rate_ma10,35,0.005687813689476257,0.009395195683973226
主板,2024.0,board,23,0.7272445577463954,0.7272445577463954
主板,2024.0,market_turnover_ma20,23,0.029947549980571378,0.12273786724109605
主板,2024.0,subscription_step_10k,23,0.11608617485062378,0.11608617485062378
主板,2024.0,offline_issue_before_share_pct,23,0.09139032650479405,0.1118606118375828
主板,2024.0,offline_issue_before_clawback_10k,23,0.005002092143263846,0.06823203458613997
主板,2024.0,subscription_upper_limit_10k,23,0.045912401355457315,0.06523444482064124
主板,2024.0,subscription_lower_limit_10k,23,0.04234190119368674,0.04958799013557572
主板,2024.0,online_issue_before_clawback_10k,23,-0.035854410372814935,0.04241943705259621
主板,2024.0,market_turnover_ma20_over_ma60,23,0.012633505795649093,0.04158919543953198
主板,2024.0,market_turnover_pct_rank_1y,23,0.021695004669871547,0.03589502636713866
主板,2024.0,recent_ipo_first_day_return_ma20,23,0.03511478688474182,0.03511478688474182
