factor,factor_group,scope,scope_value,n,spearman_ic,abs_ic,icir_by_year,status
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,board,创业板,478,-0.021320447615953846,0.021320447615953846,,ok
subscription_step_10k,申购规则因子,board,创业板,481,0.01643599009494428,0.01643599009494428,,ok
subscription_upper_limit_10k,申购规则因子,board,北交所,41,-0.0162020905923345,0.0162020905923345,,ok
subscription_upper_limit_10k,申购规则因子,board,科创板,608,0.013656594124793996,0.013656594124793996,,ok
comparable_pe_avg_ex_nonrecurring,估值因子,board,科创板,544,0.011435915480176197,0.011435915480176197,,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,board,主板,105,0.007786810917416264,0.007786810917416264,,ok
subscription_step_10k,申购规则因子,board,科创板,608,0.007528252082182427,0.007528252082182427,,ok
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,board,主板,102,0.002957291731457555,0.002957291731457555,,ok
market_return_ma20,市场情绪因子,board,主板,105,0.0006013229115663151,0.0006013229115663151,,ok
same_board_break_rate_ma10,市场情绪因子,board,北交所,15,,,,insufficient_sample
subscription_step_10k,申购规则因子,board,北交所,41,,,,insufficient_sample
industry_pe_at_ipo,估值因子,board,北交所,0,,,,insufficient_sample
comparable_pe_avg_ex_nonrecurring,估值因子,board,北交所,2,,,,insufficient_sample
offer_price_range_pct,估值因子,board,主板,0,,,,insufficient_sample
offer_price_range_pct,估值因子,board,创业板,0,,,,insufficient_sample
offer_price_range_pct,估值因子,board,北交所,0,,,,insufficient_sample
offer_price_range_pct,估值因子,board,科创板,0,,,,insufficient_sample
recent_ipo_first_day_return_ma20,市场情绪因子,period,2021-2022 扩容与破发阶段,557,0.6677671704068378,0.6677671704068378,,ok
same_board_break_rate_ma10,市场情绪因子,period,2021-2022 扩容与破发阶段,557,-0.6030796103019349,0.6030796103019349,,ok
subscription_step_10k,申购规则因子,period,2019-2020 注册制早期,296,0.525710295825264,0.525710295825264,,ok
recent_ipo_first_day_return_ma20,市场情绪因子,period,2019-2020 注册制早期,281,0.4537431448690628,0.4537431448690628,,ok
market_turnover_pct_rank_1y,市场流动性因子,period,2021-2022 扩容与破发阶段,557,0.41807689516423985,0.41807689516423985,,ok
recent_ipo_first_day_return_ma20,市场情绪因子,period,2023 全面注册制切换,199,0.4084224151058322,0.4084224151058322,,ok
market_turnover_ma20,市场流动性因子,period,2019-2020 注册制早期,296,0.3775279882168039,0.3775279882168039,,ok
offline_issue_before_share_pct,发行供给因子,period,2024-2026 当前阶段,178,-0.37325390293534993,0.37325390293534993,,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,period,2019-2020 注册制早期,296,-0.3454212748258719,0.3454212748258719,,ok
same_board_break_rate_ma10,市场情绪因子,period,2024-2026 当前阶段,178,-0.3426480711693453,0.3426480711693453,,ok
subscription_lower_limit_10k,申购规则因子,period,2021-2022 扩容与破发阶段,557,0.2922330312750614,0.2922330312750614,,ok
offline_issue_before_share_pct,发行供给因子,period,2023 全面注册制切换,204,-0.29143457452502664,0.29143457452502664,,ok
same_board_break_rate_ma10,市场情绪因子,period,2023 全面注册制切换,193,-0.28752452050514754,0.28752452050514754,,ok
subscription_lower_limit_10k,申购规则因子,period,2019-2020 注册制早期,296,0.28087516884856556,0.28087516884856556,,ok
market_turnover_ma20_over_ma60,市场流动性因子,period,2021-2022 扩容与破发阶段,557,0.27731864568155923,0.27731864568155923,,ok
market_return_ma20,市场情绪因子,period,2021-2022 扩容与破发阶段,557,0.22786629675487038,0.22786629675487038,,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,period,2021-2022 扩容与破发阶段,557,0.21828838361241618,0.21828838361241618,,ok
subscription_upper_limit_10k,申购规则因子,period,2019-2020 注册制早期,296,0.2140014016590504,0.2140014016590504,,ok
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,period,2019-2020 注册制早期,295,-0.2071309859889055,0.2071309859889055,,ok
comparable_pe_avg_ex_nonrecurring,估值因子,period,2024-2026 当前阶段,165,-0.1986848467531647,0.1986848467531647,,ok
offline_issue_before_clawback_10k,发行供给因子,period,2021-2022 扩容与破发阶段,557,-0.197773342250701,0.197773342250701,,ok
total_issue_shares_10k,发行供给因子,period,2021-2022 扩容与破发阶段,557,-0.18919395088337848,0.18919395088337848,,ok
subscription_step_10k,申购规则因子,period,2021-2022 扩容与破发阶段,557,0.17646578534187266,0.17646578534187266,,ok
subscription_upper_limit_10k,申购规则因子,period,2021-2022 扩容与破发阶段,557,-0.17240092893110254,0.17240092893110254,,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,period,2023 全面注册制切换,204,-0.17226646804672377,0.17226646804672377,,ok
concurrent_ipo_count,IPO供给拥挤因子,period,2021-2022 扩容与破发阶段,557,0.17090418632240462,0.17090418632240462,,ok
subscription_step_10k,申购规则因子,period,2023 全面注册制切换,204,0.17065788555246295,0.17065788555246295,,ok
same_board_break_rate_ma10,市场情绪因子,period,2019-2020 注册制早期,225,-0.16987172241663057,0.16987172241663057,,ok
market_turnover_ma20,市场流动性因子,period,2024-2026 当前阶段,178,0.16720829570362808,0.16720829570362808,,ok
industry_pe_at_ipo,估值因子,period,2019-2020 注册制早期,253,0.15840379079308908,0.15840379079308908,,ok
market_return_ma20,市场情绪因子,period,2023 全面注册制切换,204,-0.15283956400817467,0.15283956400817467,,ok
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,period,2021-2022 扩容与破发阶段,557,0.15273176721262705,0.15273176721262705,,ok
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,period,2024-2026 当前阶段,171,0.1525451796385629,0.1525451796385629,,ok
concurrent_ipo_count,IPO供给拥挤因子,period,2019-2020 注册制早期,296,-0.14508902463320064,0.14508902463320064,,ok
industry_pe_at_ipo,估值因子,period,2023 全面注册制切换,202,-0.14047414610906686,0.14047414610906686,,ok
market_turnover_ma20,市场流动性因子,period,2023 全面注册制切换,204,-0.13977226968337592,0.13977226968337592,,ok
concurrent_ipo_count,IPO供给拥挤因子,period,2023 全面注册制切换,204,-0.13943381573856153,0.13943381573856153,,ok
market_turnover_pct_rank_1y,市场流动性因子,period,2019-2020 注册制早期,296,0.13586262851917022,0.13586262851917022,,ok
industry_pe_at_ipo,估值因子,period,2021-2022 扩容与破发阶段,543,0.13075455528624913,0.13075455528624913,,ok
market_turnover_ma20_over_ma60,市场流动性因子,period,2023 全面注册制切换,204,0.12156796242301693,0.12156796242301693,,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,period,2024-2026 当前阶段,178,0.11495163440395388,0.11495163440395388,,ok
offline_issue_before_clawback_10k,发行供给因子,period,2023 全面注册制切换,204,-0.11240950818700982,0.11240950818700982,,ok
offline_issue_before_share_pct,发行供给因子,period,2019-2020 注册制早期,296,0.10908163685983312,0.10908163685983312,,ok
subscription_step_10k,申购规则因子,period,2024-2026 当前阶段,178,0.10520894050979814,0.10520894050979814,,ok
industry_pe_at_ipo,估值因子,period,2024-2026 当前阶段,176,-0.10128825274340435,0.10128825274340435,,ok
offline_issue_before_clawback_10k,发行供给因子,period,2024-2026 当前阶段,178,-0.09654255248422412,0.09654255248422412,,ok
subscription_upper_limit_10k,申购规则因子,period,2024-2026 当前阶段,178,-0.08822378323308995,0.08822378323308995,,ok
subscription_lower_limit_10k,申购规则因子,period,2023 全面注册制切换,204,0.08288615845468704,0.08288615845468704,,ok
