factor,factor_group,scope,scope_value,n,spearman_ic,abs_ic,icir_by_year,status
comparable_pe_avg_ex_nonrecurring,估值因子,year,2021.0,292,-0.11234994596291414,0.11234994596291414,,ok
market_return_ma20,市场情绪因子,year,2026.0,29,-0.10946750885411705,0.10946750885411705,,ok
market_turnover_pct_rank_1y,市场流动性因子,year,2021.0,309,0.10669560463583767,0.10669560463583767,,ok
subscription_upper_limit_10k,申购规则因子,year,2020.0,226,-0.10498557009768668,0.10498557009768668,,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,year,2022.0,248,0.09955041907411633,0.09955041907411633,,ok
industry_pe_at_ipo,估值因子,year,2025.0,82,-0.09929525734395804,0.09929525734395804,,ok
market_turnover_pct_rank_1y,市场流动性因子,year,2019.0,70,-0.09875874948774954,0.09875874948774954,,ok
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,year,2022.0,248,0.09770884504453754,0.09770884504453754,,ok
subscription_lower_limit_10k,申购规则因子,year,2019.0,70,0.09647070343524007,0.09647070343524007,,ok
concurrent_ipo_count,IPO供给拥挤因子,year,2022.0,248,0.09151120893850913,0.09151120893850913,,ok
strategic_allocation_share_pct,发行供给因子,year,2024.0,44,0.08860482187403243,0.08860482187403243,,ok
market_turnover_ma20,市场流动性因子,year,2026.0,29,-0.08777124583798573,0.08777124583798573,,ok
total_issue_shares_10k,发行供给因子,year,2024.0,66,0.08635016168041296,0.08635016168041296,,ok
subscription_lower_limit_10k,申购规则因子,year,2023.0,204,0.08288615845468704,0.08288615845468704,,ok
total_issue_shares_10k,发行供给因子,year,2023.0,204,-0.07527469557924855,0.07527469557924855,,ok
subscription_step_10k,申购规则因子,year,2024.0,66,0.07487514999114352,0.07487514999114352,,ok
concurrent_ipo_count,IPO供给拥挤因子,year,2024.0,66,0.07357576677430086,0.07357576677430086,,ok
subscription_upper_limit_10k,申购规则因子,year,2023.0,204,-0.07033655081688939,0.07033655081688939,,ok
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,year,2026.0,27,0.07020757020757021,0.07020757020757021,,ok
strategic_allocation_share_pct,发行供给因子,year,2021.0,225,0.06899024160069733,0.06899024160069733,,ok
offline_issue_before_share_pct,发行供给因子,year,2022.0,248,0.06745188251400286,0.06745188251400286,,ok
concurrent_ipo_count,IPO供给拥挤因子,year,2021.0,309,0.06146647955310478,0.06146647955310478,,ok
market_turnover_ma20_over_ma60,市场流动性因子,year,2022.0,248,-0.05996771487345379,0.05996771487345379,,ok
subscription_lower_limit_10k,申购规则因子,year,2025.0,83,-0.058029469939143256,0.058029469939143256,,ok
market_turnover_pct_rank_1y,市场流动性因子,year,2023.0,204,-0.057557766391436144,0.057557766391436144,,ok
market_turnover_ma20,市场流动性因子,year,2020.0,226,0.05693854594834319,0.05693854594834319,,ok
strategic_allocation_share_pct,发行供给因子,year,2023.0,115,-0.05212392182938204,0.05212392182938204,,ok
total_issue_shares_10k,发行供给因子,year,2020.0,226,-0.04893778927793075,0.04893778927793075,,ok
comparable_pe_avg_ex_nonrecurring,估值因子,year,2019.0,69,0.04819145049324078,0.04819145049324078,,ok
subscription_upper_limit_10k,申购规则因子,year,2019.0,70,-0.042329444527199424,0.042329444527199424,,ok
comparable_pe_avg_ex_nonrecurring,估值因子,year,2020.0,180,0.0418860664423799,0.0418860664423799,,ok
market_turnover_pct_rank_1y,市场流动性因子,year,2025.0,83,-0.040578282757285554,0.040578282757285554,,ok
offline_issue_before_clawback_10k,发行供给因子,year,2020.0,226,-0.0405398978135654,0.0405398978135654,,ok
offline_issue_before_share_pct,发行供给因子,year,2021.0,309,-0.04018361799029925,0.04018361799029925,,ok
industry_pe_at_ipo,估值因子,year,2022.0,244,-0.038392910249083444,0.038392910249083444,,ok
total_issue_shares_10k,发行供给因子,year,2026.0,29,-0.03818674666271495,0.03818674666271495,,ok
concurrent_ipo_count,IPO供给拥挤因子,year,2026.0,29,-0.03628632719019429,0.03628632719019429,,ok
offline_issue_before_clawback_10k,发行供给因子,year,2024.0,66,-0.03220991765040962,0.03220991765040962,,ok
industry_pe_at_ipo,估值因子,year,2020.0,183,0.027438555749589325,0.027438555749589325,,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,year,2025.0,83,0.026111020498798036,0.026111020498798036,,ok
market_turnover_pct_rank_1y,市场流动性因子,year,2022.0,248,0.0255499532137219,0.0255499532137219,,ok
market_turnover_ma20,市场流动性因子,year,2021.0,309,-0.022519199868079296,0.022519199868079296,,ok
market_turnover_ma20,市场流动性因子,year,2025.0,83,0.019134085627222443,0.019134085627222443,,ok
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,year,2025.0,81,-0.01795392953929539,0.01795392953929539,,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,year,2026.0,29,-0.016419362715838656,0.016419362715838656,,ok
subscription_lower_limit_10k,申购规则因子,year,2026.0,29,-0.01573258378097499,0.01573258378097499,,ok
strategic_allocation_share_pct,发行供给因子,year,2026.0,25,-0.014683310858710675,0.014683310858710675,,ok
market_turnover_ma20,市场流动性因子,year,2022.0,248,0.013581247627204923,0.013581247627204923,,ok
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,year,2023.0,204,-0.0076245132199221155,0.0076245132199221155,,ok
comparable_pe_avg_ex_nonrecurring,估值因子,year,2023.0,194,-0.0074059251510188665,0.0074059251510188665,,ok
market_return_ma20,市场情绪因子,year,2022.0,248,0.003932283376246681,0.003932283376246681,,ok
market_turnover_pct_rank_1y,市场流动性因子,year,2026.0,29,0.002969225714084371,0.002969225714084371,,ok
subscription_upper_limit_10k,申购规则因子,year,2024.0,66,-0.0013369965343656496,0.0013369965343656496,,ok
market_turnover_ma20_over_ma60,市场流动性因子,year,2026.0,29,0.0,0.0,,ok
market_turnover_ma20,市场流动性因子,year,,0,,,,insufficient_sample
market_turnover_pct_rank_1y,市场流动性因子,year,,0,,,,insufficient_sample
market_turnover_ma20_over_ma60,市场流动性因子,year,,0,,,,insufficient_sample
market_return_ma20,市场情绪因子,year,,0,,,,insufficient_sample
recent_ipo_first_day_return_ma20,市场情绪因子,year,,0,,,,insufficient_sample
same_board_break_rate_ma10,市场情绪因子,year,2025.0,83,,,,insufficient_sample
same_board_break_rate_ma10,市场情绪因子,year,2026.0,29,,,,insufficient_sample
same_board_break_rate_ma10,市场情绪因子,year,,0,,,,insufficient_sample
concurrent_ipo_count,IPO供给拥挤因子,year,,0,,,,insufficient_sample
same_board_concurrent_ipo_count,IPO供给拥挤因子,year,,0,,,,insufficient_sample
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,year,,0,,,,insufficient_sample
total_issue_shares_10k,发行供给因子,year,,0,,,,insufficient_sample
offline_issue_before_clawback_10k,发行供给因子,year,,0,,,,insufficient_sample
offline_issue_before_share_pct,发行供给因子,year,,0,,,,insufficient_sample
strategic_allocation_share_pct,发行供给因子,year,,0,,,,insufficient_sample
subscription_upper_limit_10k,申购规则因子,year,,0,,,,insufficient_sample
subscription_lower_limit_10k,申购规则因子,year,,0,,,,insufficient_sample
subscription_step_10k,申购规则因子,year,2019.0,70,,,,insufficient_sample
subscription_step_10k,申购规则因子,year,2025.0,83,,,,insufficient_sample
subscription_step_10k,申购规则因子,year,,0,,,,insufficient_sample
industry_pe_at_ipo,估值因子,year,,0,,,,insufficient_sample
comparable_pe_avg_ex_nonrecurring,估值因子,year,,0,,,,insufficient_sample
offer_price_range_pct,估值因子,year,2019.0,0,,,,insufficient_sample
offer_price_range_pct,估值因子,year,2020.0,0,,,,insufficient_sample
offer_price_range_pct,估值因子,year,2021.0,0,,,,insufficient_sample
offer_price_range_pct,估值因子,year,2022.0,0,,,,insufficient_sample
offer_price_range_pct,估值因子,year,2023.0,0,,,,insufficient_sample
offer_price_range_pct,估值因子,year,2024.0,0,,,,insufficient_sample
offer_price_range_pct,估值因子,year,2025.0,0,,,,insufficient_sample
offer_price_range_pct,估值因子,year,2026.0,0,,,,insufficient_sample
offer_price_range_pct,估值因子,year,,0,,,,insufficient_sample
