board,sample_count,label_count,median_oversubscription,median_subscription_rate_pct,median_first_day_return_pct,break_rate,median_total_issue_shares_10k,median_offline_issue_before_10k,median_offline_issue_before_share_pct,median_strategic_allocation_share_pct,median_subscription_upper_limit_10k,median_subscription_lower_limit_10k,median_market_turnover_ma20,median_recent_ipo_return_ma20,median_concurrent_ipo_count,median_same_board_break_rate_ma10,label_coverage
主板,111,105,8622.7955,0.011597167067223153,112.7936798477585,0.008928571428571428,4490.860549999999,2596.1747,60.0,17.771928903743316,1290.0,100.0,11328.5031770485,177.57098902076999,4.0,0.0,0.9459459459459459
创业板,602,481,3367.4051,0.029696456776168688,93.4330839567747,0.09286898839137644,2640.0,2145.0,71.5,10.0,1000.0,100.0,9793.9038485705,163.6850085280857,12.0,0.0,0.7990033222591362
北交所,316,41,21.37,4.679457182966775,22.0625,0.26498422712933756,1799.98,1300.0,58.69469995619798,17.391304347826086,1043.52,5.0,9468.755579971501,26.207739377818985,24.0,0.2,0.12974683544303797
科创板,610,608,2596.9328,0.0385069704959173,91.9801277501774,0.12111292962356793,3339.0,2162.6407,66.49999999999999,10.922271558499887,915.0,100.0,9250.814886697499,131.2045940882587,12.0,0.0,0.9967213114754099
