period,sample_count,label_count,median_oversubscription,median_subscription_rate_pct,median_first_day_return_pct,break_rate,median_total_issue_shares_10k,median_offline_issue_before_10k,median_offline_issue_before_share_pct,median_strategic_allocation_share_pct,median_subscription_upper_limit_10k,median_subscription_lower_limit_10k,median_market_turnover_ma20,median_recent_ipo_return_ma20,median_concurrent_ipo_count,median_same_board_break_rate_ma10,label_coverage
2019-2020 注册制早期,314,296,1738.2089,0.05753048831813555,120.236243908248,0.06369426751592357,3000.0,2022.475,66.50254492510723,5.0,800.0,100.0,7888.402787208499,158.3812266850737,14.0,0.0,0.9426751592356688
2021-2022 扩容与破发阶段,758,557,3379.1785,0.029592991314309085,56.6064442818491,0.18865435356200527,2560.5950000000003,2145.0,67.42163095238095,14.235853090425337,1000.0,100.0,9872.972690643499,67.79273244009323,13.0,0.1,0.7348284960422163
2023 全面注册制切换,290,204,3251.0783,0.03075904689675325,35.833102669971154,0.17586206896551723,2622.53615,2373.2145499999997,68.6938659888074,17.391131512254844,1100.0,100.0,8910.9407964815,36.958654974831035,11.0,0.2,0.7034482758620689
2024-2026 当前阶段,273,178,4249.3976,0.023533199189213264,185.152095767633,0.003663003663003663,3000.0,2448.5827,60.0,17.391304347826086,1200.0,100.0,17377.408096353996,213.24492406372147,3.0,0.0,0.652014652014652
未知时期,4,0,,,,0.0,,,,,,,,224.02329443025025,,,0.0
