security_code,security_name,board,listing_year,period,log_offline_oversubscription,feature,shap,abs_shap
688425.SH,铁建重工,科创板,2021.0,2021-2022 扩容与破发阶段,7.858828080095912,strategic_allocation_share_pct,-0.0022298375337202695,0.0022298375337202695
688426.SH,康为世纪,科创板,2022.0,2021-2022 扩容与破发阶段,7.693005045969212,strategic_allocation_share_pct,0.017839987402114562,0.017839987402114562
688428.SH,诺诚健华,科创板,2022.0,2021-2022 扩容与破发阶段,6.6075767838010595,strategic_allocation_share_pct,-0.04722181089518884,0.04722181089518884
688429.SH,时创能源,科创板,2023.0,2023 全面注册制切换,8.275972605613834,strategic_allocation_share_pct,-0.022658492094341252,0.022658492094341252
688432.SH,有研硅,科创板,2022.0,2021-2022 扩容与破发阶段,7.849508746338085,strategic_allocation_share_pct,-0.006732709095944255,0.006732709095944255
688433.SH,华曙高科,科创板,2023.0,2023 全面注册制切换,8.165510024942614,strategic_allocation_share_pct,0.017788293970260886,0.017788293970260886
688435.SH,英方软件,科创板,2023.0,2023 全面注册制切换,7.999917007449087,strategic_allocation_share_pct,0.022541825831914004,0.022541825831914004
688439.SH,振华风光,科创板,2022.0,2021-2022 扩容与破发阶段,7.656768577616326,strategic_allocation_share_pct,0.009200189864846442,0.009200189864846442
688443.SH,智翔金泰-U,科创板,2023.0,2023 全面注册制切换,7.068597378385808,strategic_allocation_share_pct,-0.1711044177898594,0.1711044177898594
688448.SH,磁谷科技,科创板,2022.0,2021-2022 扩容与破发阶段,8.315748899027351,strategic_allocation_share_pct,0.06941776819354668,0.06941776819354668
688449.SH,联芸科技,科创板,2024.0,2024-2026 当前阶段,7.603717892488627,strategic_allocation_share_pct,-0.05022975359375963,0.05022975359375963
688450.SH,光格科技,科创板,2023.0,2023 全面注册制切换,8.270345887803119,strategic_allocation_share_pct,0.039769757505694246,0.039769757505694246
688455.SH,科捷智能,科创板,2022.0,2021-2022 扩容与破发阶段,8.005926637121334,strategic_allocation_share_pct,0.013416782682640545,0.013416782682640545
688456.SH,有研粉材,科创板,2021.0,2021-2022 扩容与破发阶段,8.307489617623729,strategic_allocation_share_pct,0.06036754541556797,0.06036754541556797
688458.SH,美芯晟,科创板,2023.0,2023 全面注册制切换,8.014727360340558,strategic_allocation_share_pct,-0.08407400018678905,0.08407400018678905
688459.SH,哈铁科技,科创板,2022.0,2021-2022 扩容与破发阶段,7.76226668762871,strategic_allocation_share_pct,-0.01999854261805772,0.01999854261805772
688466.SH,金科环境,科创板,2020.0,2019-2020 注册制早期,7.49424732845344,strategic_allocation_share_pct,0.041189060095207425,0.041189060095207425
688468.SH,科美诊断,科创板,2021.0,2021-2022 扩容与破发阶段,8.483140938730557,strategic_allocation_share_pct,0.0752028938860927,0.0752028938860927
688469.SH,芯联集成-U,科创板,2023.0,2023 全面注册制切换,7.287109854726641,strategic_allocation_share_pct,-0.0850788731092018,0.0850788731092018
688472.SH,阿特斯,科创板,2023.0,2023 全面注册制切换,7.279219520138193,strategic_allocation_share_pct,0.0004565154231923568,0.0004565154231923568
688475.SH,萤石网络,科创板,2022.0,2021-2022 扩容与破发阶段,7.3550751920781625,strategic_allocation_share_pct,-0.04444999528679626,0.04444999528679626
688478.SH,晶升股份,科创板,2023.0,2023 全面注册制切换,7.9019063142015975,strategic_allocation_share_pct,0.012233964254678124,0.012233964254678124
688479.SH,友车科技,科创板,2023.0,2023 全面注册制切换,8.220517571314891,strategic_allocation_share_pct,-0.0818000973590159,0.0818000973590159
688480.SH,赛恩斯,科创板,2022.0,2021-2022 扩容与破发阶段,8.321617116309096,strategic_allocation_share_pct,0.04586866755472,0.04586866755472
688484.SH,南芯科技,科创板,2023.0,2023 全面注册制切换,7.6932374907047905,strategic_allocation_share_pct,-0.005243888277666848,0.005243888277666848
688485.SH,九州一轨,科创板,2023.0,2023 全面注册制切换,8.241094439196745,strategic_allocation_share_pct,0.01832060192951697,0.01832060192951697
688486.SH,龙迅股份,科创板,2023.0,2023 全面注册制切换,8.04742335883793,strategic_allocation_share_pct,0.0019209525967385404,0.0019209525967385404
688488.SH,艾迪药业,科创板,2020.0,2019-2020 注册制早期,7.715149517658511,strategic_allocation_share_pct,-0.005775226320132177,0.005775226320132177
688489.SH,三未信安,科创板,2022.0,2021-2022 扩容与破发阶段,8.005323956610967,strategic_allocation_share_pct,0.018193988243810126,0.018193988243810126
688496.SH,*ST清越,科创板,2022.0,2021-2022 扩容与破发阶段,8.006746162640784,strategic_allocation_share_pct,0.0027646178638109143,0.0027646178638109143
688498.SH,源杰科技,科创板,2022.0,2021-2022 扩容与破发阶段,8.03514956340137,strategic_allocation_share_pct,0.02261843963287768,0.02261843963287768
688499.SH,利元亨,科创板,2021.0,2021-2022 扩容与破发阶段,8.333516188419983,strategic_allocation_share_pct,0.03846860696256168,0.03846860696256168
688500.SH,慧辰股份,科创板,2020.0,2019-2020 注册制早期,7.551853171803038,strategic_allocation_share_pct,0.024998112416333478,0.024998112416333478
688501.SH,青达环保,科创板,2021.0,2021-2022 扩容与破发阶段,8.716414571673763,strategic_allocation_share_pct,0.06328610721538143,0.06328610721538143
688502.SH,茂莱光学,科创板,2023.0,2023 全面注册制切换,8.154729208996423,strategic_allocation_share_pct,-0.026487612229600235,0.026487612229600235
688503.SH,聚和材料,科创板,2022.0,2021-2022 扩容与破发阶段,7.808866462244733,strategic_allocation_share_pct,0.014510381879891383,0.014510381879891383
688505.SH,复旦张江,科创板,2020.0,2019-2020 注册制早期,7.43175058059177,strategic_allocation_share_pct,5.5758309514970595e-06,5.5758309514970595e-06
688506.SH,百利天恒,科创板,2023.0,2023 全面注册制切换,6.879122238091288,strategic_allocation_share_pct,0.008416981377353189,0.008416981377353189
688507.SH,索辰科技,科创板,2023.0,2023 全面注册制切换,7.653557099378286,strategic_allocation_share_pct,-0.022137577256725362,0.022137577256725362
688508.SH,芯朋微,科创板,2020.0,2019-2020 注册制早期,7.848446639360044,strategic_allocation_share_pct,0.036889406998725296,0.036889406998725296
688509.SH,正元地信,科创板,2021.0,2021-2022 扩容与破发阶段,8.527057696804327,strategic_allocation_share_pct,0.036693066186842115,0.036693066186842115
688510.SH,航亚科技,科创板,2020.0,2019-2020 注册制早期,8.271682040074017,strategic_allocation_share_pct,-0.023157064515679827,0.023157064515679827
688511.SH,天微电子,科创板,2021.0,2021-2022 扩容与破发阶段,8.634599693970706,strategic_allocation_share_pct,0.06141155202524719,0.06141155202524719
688512.SH,慧智微-U,科创板,2023.0,2023 全面注册制切换,7.95815307275146,strategic_allocation_share_pct,-0.09700665540520559,0.09700665540520559
688513.SH,苑东生物,科创板,2020.0,2019-2020 注册制早期,7.863731116162843,strategic_allocation_share_pct,0.024574666702942186,0.024574666702942186
688515.SH,裕太微-U,科创板,2023.0,2023 全面注册制切换,7.430853426312597,strategic_allocation_share_pct,-0.14240361192438575,0.14240361192438575
688516.SH,奥特维,科创板,2020.0,2019-2020 注册制早期,7.6776193968132125,strategic_allocation_share_pct,0.04447278634832988,0.04447278634832988
688517.SH,金冠电气,科创板,2021.0,2021-2022 扩容与破发阶段,8.547721872687587,strategic_allocation_share_pct,0.06175010542833396,0.06175010542833396
688518.SH,联赢激光,科创板,2020.0,2019-2020 注册制早期,7.61672787447868,strategic_allocation_share_pct,0.05602072133263027,0.05602072133263027
688519.SH,南亚新材,科创板,2020.0,2019-2020 注册制早期,7.602033769369731,strategic_allocation_share_pct,0.023095173077369295,0.023095173077369295
688520.SH,神州细胞,科创板,2020.0,2019-2020 注册制早期,7.309532060234281,strategic_allocation_share_pct,-0.10611813279600749,0.10611813279600749
688521.SH,芯原股份,科创板,2020.0,2019-2020 注册制早期,7.133699544631919,strategic_allocation_share_pct,-0.00550003288517129,0.00550003288517129
688522.SH,纳睿雷达,科创板,2023.0,2023 全面注册制切换,8.014854385846794,strategic_allocation_share_pct,-0.09402324376029361,0.09402324376029361
