board,n_labeled,global_n,global_spearman,global_mae,global_rmse,board_n,board_spearman,board_mae,board_rmse,delta_spearman,delta_mae
科创板,608,229,0.984455347596255,0.06367241159907494,0.11802289565649406,229,0.9857783817812998,0.06853295418591303,0.12050574469911651,0.001323034185044869,0.0048605425868380875
创业板,481,284,0.9792957484538999,0.04984319922445182,0.06800097924669343,284,0.9620732017172777,0.06235587786110123,0.08629987928998022,-0.017222546736622157,0.012512678636649406
主板,105,69,0.8390938984289369,0.13887552874139752,0.1981190281435215,69,0.610595542564852,0.22200089745725754,0.3062565026077671,-0.22849835586408485,0.08312536871586002
