model,stage,n,mae,rmse,r2,spearman
board_mean_t6,T6,624,0.37036868301878895,0.5318129826543706,0.5292656428619282,0.2700051450516238
lgbm_t1,T1,624,0.10949722849706617,0.22899794082778524,0.9127187050655909,0.9606283244845043
lgbm_t1plus,T1PLUS,624,0.10222682364603151,0.21900035637148862,0.9201733930633651,0.9645341400172861
lgbm_t6,T6,624,0.3072648171647312,0.4482028346509209,0.6656454600926418,0.619466205704408
ridge_t1,T1,624,0.38780578852540476,0.8635993239658446,-0.24131674539611847,0.6711333744906779
